range;linha;descricao;posto;datainicioplan;datafimplan;datainicioreal;datafimreal;fimreal_fimplan;inicioreal_inicioplan;fimreal_inicioreal;fimplan_inicioplan
L1559;CF-3;65120 LIGHT;65120 - Light Lower Panel LF;2018-11-19 12:30:00.000;2018-11-22 12:00:00.000;2018-10-29 06:45:00.000;2018-10-31 15:00:00.000;15;14;3;4
L1559;CF-3;65400 LIGHT;65400 - Light Upper Panel RH;2018-11-06 12:30:00.000;2018-11-09 12:00:00.000;2018-10-31 14:15:00.000;2018-11-05 19:40:00.000;4;3;2;4
L1559;CF-3;65300 LIGHT;65300 - Light Upper Panel LF;2018-11-06 12:30:00.000;2018-11-09 12:00:00.000;2018-10-31 14:10:00.000;2018-11-05 09:00:00.000;4;3;2;4
L1559;CF-3;PRIM SELAGEM;1ª Selagem + Insp + Reparo;2019-01-11 12:30:00.000;2019-01-15 12:00:00.000;2018-12-20 22:40:00.000;2019-01-07 22:00:00.000;6;14;11;3
L1559;CF-3;COMPLEMENTAÇÃO;Complementação;2019-01-15 12:30:00.000;2019-01-23 12:00:00.000;2019-01-08 13:00:00.000;2019-01-10 22:00:00.000;9;5;3;7
L1559;CF-3;GATE B QUALIDADE;Gate B Qualidade;2019-01-23 12:30:00.000;2019-01-24 12:00:00.000;2019-01-11 07:00:00.000;2019-01-14 22:00:00.000;8;8;2;2
L1559;CF-3;GATE B PRODUÇÃO;Gate B Produção;2019-01-24 12:30:00.000;2019-01-25 12:00:00.000;2019-01-15 07:00:00.000;2019-01-16 22:00:00.000;7;7;2;2
L1559;CF-3;SELAGEM;Selagem;2019-01-25 12:30:00.000;2019-01-28 12:00:00.000;2019-01-17 07:00:00.000;2019-01-18 22:00:00.000;6;6;2;2
L1559;CF-3;PINTURA;Pintura;2019-01-28 12:30:00.000;2019-01-29 12:00:00.000;2019-01-21 07:00:00.000;2019-01-25 22:00:00.000;2;5;5;2
L1559;CF-3;COMPL POS PINTURA;Compl Pós-Pint + Hoisting;2019-01-30 07:30:00.000;2019-01-30 12:00:00.000;2019-01-28 07:30:00.000;2019-01-30 22:00:00.000;0;2;3;1
L1559;CF-3;PU FINAL;PU Final;2019-01-30 12:30:00.000;2019-02-01 12:00:00.000;2019-01-31 07:00:00.000;2019-01-31 22:00:00.000;1;-1;1;3
L1559;CF-3;GATE C;Gate C;2019-02-01 12:30:00.000;2019-02-04 12:00:00.000;2019-02-01 07:00:00.000;2019-02-05 22:00:00.000;-1;0;3;2
L1559;CF-3;ENVIO EADI;Fuselagem Disponível;2019-02-04 12:30:00.000;2019-02-04 12:30:00.000;2019-02-11 17:30:00.000;2019-02-11 17:30:00.000;-5;-5;1;1
L1560;CF-1;COMPLEMENTAÇÃO;Complementação;2019-01-15 12:30:00.000;2019-01-24 12:00:00.000;2019-01-22 12:00:00.000;2019-01-25 11:00:00.000;-1;-5;4;8
L1560;CF-1;GATE B QUA;Gate B Qualidade;2019-01-24 12:30:00.000;2019-01-24 14:30:00.000;2019-01-25 11:20:00.000;2019-01-28 07:10:00.000;-2;-1;2;1
L1560;CF-1;GATE B PRO;Gate B Produção;2019-01-24 15:00:00.000;2019-01-25 12:00:00.000;2019-01-28 07:50:00.000;2019-01-31 07:00:00.000;-4;-2;4;2
L1560;CF-1;SELAGEM;Selagem;2019-01-25 12:30:00.000;2019-01-28 12:00:00.000;2019-01-31 07:30:00.000;2019-02-01 06:30:00.000;-4;-4;2;2
L1560;CF-1;PINTURA;Pintura;2019-01-28 12:30:00.000;2019-01-29 12:00:00.000;2019-02-01 07:00:00.000;2019-02-01 12:00:00.000;-3;-4;1;2
L1560;CF-1;PRÉ-INSPEÇÃO;Pré Inspeção;2019-01-29 12:30:00.000;2019-01-29 16:30:00.000;2019-02-01 13:00:00.000;2019-02-04 12:10:00.000;-4;-3;2;1
L1560;CF-1;INSPEÇÃO;Inspeção Sel Pint;2019-01-30 07:30:00.000;2019-01-30 12:00:00.000;2019-02-04 13:30:00.000;2019-02-05 06:00:00.000;-4;-3;2;1
L1560;CF-1;PU FINAL;PU Final;2019-01-30 12:30:00.000;2019-02-01 12:00:00.000;2019-02-05 07:20:00.000;2019-02-06 07:00:00.000;-3;-4;2;3
L1560;CF-1;GATE C;Gate C;2019-02-01 12:30:00.000;2019-02-04 12:00:00.000;2019-02-06 07:10:00.000;2019-02-11 10:00:00.000;-5;-3;4;2
L1560;CF-1;ENVIO EADI;Fuselagem Disponível;2019-02-04 12:30:00.000;2019-02-04 12:30:00.000;2019-02-11 18:20:00.000;2019-02-11 18:20:00.000;-5;-5;1;1
L1560;CF-1;67080;67080 - Enquadramento Porta;2018-12-06 12:30:00.000;2018-12-11 12:00:00.000;2018-12-06 15:00:00.000;2018-12-10 13:00:00.000;1;0;3;4
L1560;CF-1;67120;67120 - Piso;2018-12-06 12:30:00.000;2018-12-17 12:00:00.000;2018-12-07 07:00:00.000;2018-12-20 15:30:00.000;-3;-1;10;8
L1560;CF-1;67061;67061 - Lateral Lower Right;2018-12-07 12:30:00.000;2018-12-12 12:00:00.000;2018-12-05 07:00:00.000;2018-12-06 12:00:00.000;4;2;2;4
L1560;CF-1;67065;67065 - Lateral Lower Right;2018-12-13 12:30:00.000;2018-12-18 12:00:00.000;2018-12-14 08:00:00.000;2018-12-20 15:00:00.000;-2;-1;5;4
L1560;CF-1;67051;67051 - Lateral Lower Left;2018-12-12 12:30:00.000;2018-12-17 12:00:00.000;2018-12-11 07:30:00.000;2018-12-13 11:00:00.000;2;1;3;4
L1560;CF-1;67030;67030 - Shell Lower;2018-12-18 12:30:00.000;2018-12-21 12:00:00.000;2019-01-07 08:00:00.000;2019-01-10 14:00:00.000;-12;-12;4;4
L1560;CF-1;67042;67042 - Lateral Upper LF;2018-12-11 12:30:00.000;2018-12-14 12:00:00.000;2018-12-13 10:30:00.000;2018-12-14 10:00:00.000;0;-2;2;4
L1560;CF-1;67041;67041 - Lateral Lower RH;2018-12-12 12:30:00.000;2018-12-17 12:00:00.000;2018-12-14 13:35:00.000;2019-01-09 10:50:00.000;-15;-2;17;4
L1560;CF-1;67040;67040 - Shell Upper;2018-12-17 12:30:00.000;2018-12-20 12:00:00.000;2019-01-10 09:30:00.000;2019-01-14 12:00:00.000;-15;-16;3;4
L1560;CF-1;67010;67010 - Assy Junction;2018-12-21 12:30:00.000;2019-01-09 12:00:00.000;2019-01-15 07:00:00.000;2019-01-17 15:00:00.000;-6;-15;3;12
L1560;CF-1;INTERFACE;Interface ;2019-01-10 12:30:00.000;2019-01-15 12:00:00.000;2019-01-17 17:00:00.000;2019-01-22 07:00:00.000;-5;-5;4;4
L1560;CF-1;GATE A;Gate A;2019-01-10 12:30:00.000;2019-01-15 12:00:00.000;2019-01-18 07:00:00.000;2019-01-18 15:20:00.000;-3;-6;1;4
L1560;CF-3;65180;65180 - Lower Panel;2018-11-13 15:00:00.000;2018-11-20 14:30:00.000;2018-11-01 19:30:00.000;2018-11-06 22:40:00.000;9;7;2;5
L1560;CF-3;65720;65720 - Lower Fuselage;2018-11-20 15:00:00.000;2018-11-23 14:30:00.000;2018-11-06 23:10:00.000;2018-11-08 23:50:00.000;10;9;3;4
L1560;CF-3;65240;65240 - Lower Panel RH;2018-11-22 15:00:00.000;2018-11-27 14:30:00.000;2018-11-07 00:15:00.000;2018-11-09 23:30:00.000;11;10;3;4
L1560;CF-3;65110;65110 - Lateral LowerRH;2018-11-27 15:00:00.000;2018-12-05 14:30:00.000;2018-11-13 21:15:00.000;2018-11-21 17:00:00.000;10;9;6;7
L1560;CF-3;65120;65120 - Lower Panel LF;2018-11-28 15:00:00.000;2018-12-03 14:30:00.000;2018-11-06 12:20:00.000;2018-11-08 07:10:00.000;16;15;3;4
L1560;CF-3;65900;65900 - Shell Lower;2018-12-06 15:00:00.000;2018-12-14 14:30:00.000;2018-11-22 06:10:00.000;2018-11-27 15:40:00.000;13;10;4;7
L1560;CF-3;65400;65400 - Upper Panel;2018-11-19 15:00:00.000;2018-11-22 14:30:00.000;2018-11-19 10:32:00.000;2018-11-21 15:20:00.000;1;0;3;4
L1560;CF-3;65360;65360 - Upper Panel RH;2018-11-19 15:00:00.000;2018-11-22 14:30:00.000;2018-11-12 07:25:00.000;2018-11-14 09:00:00.000;5;4;3;4
L1560;CF-3;65300;65300 - Upper Panel LF;2018-11-19 15:00:00.000;2018-11-22 14:30:00.000;2018-11-13 06:00:00.000;2018-11-14 22:30:00.000;5;3;2;4
L1560;CF-3;65780;65780 - Lateral Upper LF;2018-11-23 15:00:00.000;2018-11-28 14:30:00.000;2018-11-21 08:20:00.000;2018-11-23 14:30:00.000;3;2;3;4
L1560;CF-3;65840;65840 - Lateral Upper RH;2018-11-23 15:00:00.000;2018-11-28 14:30:00.000;2018-11-23 08:00:00.000;2018-11-27 14:00:00.000;1;0;3;4
L1560;CF-3;65960;65960 - Shell Upper;2018-12-03 15:00:00.000;2018-12-11 14:30:00.000;2018-11-27 21:15:00.000;2018-11-30 00:30:00.000;7;4;4;7
L1560;CF-3;66000;66000 - Assy Junction;2018-12-14 15:00:00.000;2019-01-07 14:30:00.000;2018-11-30 09:00:00.000;2018-12-07 08:40:00.000;19;10;6;15
L1560;CF-3;INTERFACE;86640/86630 - Interface Porta;2019-01-08 15:00:00.000;2019-01-11 14:30:00.000;2018-12-13 23:50:00.000;2018-12-21 22:00:00.000;13;16;7;4
L1560;CF-3;GATE A;Gate A;2019-01-11 15:00:00.000;2019-01-16 14:30:00.000;2019-01-07 08:00:00.000;2019-01-09 15:00:00.000;5;4;3;4
L1560;CF-3;PRIM SELAGEM;1ª Selagem + Insp + Reparo;2019-01-16 15:00:00.000;2019-01-18 14:30:00.000;2019-01-09 19:00:00.000;2019-01-11 09:00:00.000;5;5;3;3
L1560;CF-3;COMPLEMENTAÇÃO;Complementação;2019-01-18 15:00:00.000;2019-01-28 14:30:00.000;2019-01-14 07:00:00.000;2019-01-16 22:00:00.000;8;4;3;7
L1560;CF-3;GATE B QUALIDADE;Gate B Qualidade;2019-01-28 15:00:00.000;2019-01-29 14:30:00.000;2019-01-17 07:00:00.000;2019-01-18 22:00:00.000;7;7;2;2
L1560;CF-3;GATE B PRODUÇÃO;Gate B Produção;2019-01-29 15:00:00.000;2019-01-30 14:30:00.000;2019-01-21 07:00:00.000;2019-01-23 22:00:00.000;5;6;3;2
L1560;CF-3;SELAGEM;Selagem;2019-01-30 15:00:00.000;2019-01-31 14:30:00.000;2019-01-24 07:30:00.000;2019-01-25 22:00:00.000;4;4;2;2
L1560;CF-3;PINTURA;Pintura;2019-01-31 15:00:00.000;2019-02-01 14:30:00.000;2019-01-28 07:00:00.000;2019-01-29 22:00:00.000;3;3;2;2
L1560;CF-3;COMPL POS PINTURA;Compl Pós-Pint + Hoisting;2019-02-04 10:00:00.000;2019-02-04 14:30:00.000;2019-01-30 07:00:00.000;2019-01-31 22:00:00.000;2;3;2;1
L1560;CF-3;PU FINAL;PU Final;2019-02-04 15:00:00.000;2019-02-06 14:30:00.000;2019-02-04 07:00:00.000;2019-02-05 22:00:00.000;1;0;2;3
L1560;CF-3;GATE C;Gate C;2019-02-06 15:00:00.000;2019-02-07 14:30:00.000;2019-02-06 07:00:00.000;2019-02-06 22:00:00.000;1;0;1;2
L1560;CF-3;ENVIO EADI;Fuselagem Disponível;2019-02-07 15:00:00.000;2019-02-07 15:00:00.000;2019-02-13 18:20:00.000;2019-02-13 18:20:00.000;-4;-4;1;1
L1560;CF-3;"120; 180; 240; 300; 360; 400";PGV - Furação (120,180,240,300,360,400);2018-11-05 15:00:00.000;2018-11-08 14:30:00.000;2018-10-29 23:50:00.000;2018-10-30 10:50:00.000;6;4;2;4
L1560;CF-3;65420;65420 - Enquadramento Porta;2018-11-19 15:00:00.000;2018-11-22 14:30:00.000;2018-10-29 14:20:00.000;2018-10-31 14:00:00.000;15;14;3;4
L1560;CF-3;65480;65480 - Enquadramento Porta;2018-11-13 15:00:00.000;2018-11-20 14:30:00.000;2018-11-07 08:40:00.000;2018-11-09 14:30:00.000;6;4;3;5
L1560;CF-3;65540;65540 - Enquadramento Porta;2018-11-13 15:00:00.000;2018-11-20 14:30:00.000;2018-11-08 06:05:00.000;2018-11-12 15:15:00.000;5;3;3;5
L1560;CF-3;65600;65600 - Piso;2018-11-28 15:00:00.000;2018-12-03 14:30:00.000;2018-10-31 17:00:00.000;2018-11-05 14:30:00.000;19;19;2;4
L1560;CF-3;65660;65660 - Piso;2018-11-28 15:00:00.000;2018-12-03 14:30:00.000;2018-11-09 07:00:00.000;2018-11-12 10:00:00.000;14;12;2;4
L1560;CF-3;65180 LIGHT;65180 - Light Lower Panel;2018-11-08 15:00:00.000;2018-11-13 14:30:00.000;2018-10-30 15:00:00.000;2018-11-01 12:50:00.000;7;6;3;4
L1560;CF-3;65240 LIGHT;65240 - Light Lower Panel RH;2018-11-19 15:00:00.000;2018-11-22 14:30:00.000;2018-10-31 19:35:00.000;2018-11-05 15:00:00.000;12;12;2;4
L1560;CF-3;65120 LIGHT;65120 - Light Lower Panel LF;2018-11-22 15:00:00.000;2018-11-27 14:30:00.000;2018-10-31 15:00:00.000;2018-11-06 00:10:00.000;14;15;3;4
L1560;CF-3;65400 LIGHT;65400 - Light Upper Panel RH;2018-11-09 15:00:00.000;2018-11-14 14:30:00.000;2018-11-05 19:55:00.000;2018-11-08 14:30:00.000;4;4;4;4
L1560;CF-3;65300 LIGHT;65300 - Light Upper Panel LF;2018-11-09 15:00:00.000;2018-11-14 14:30:00.000;2018-11-05 09:20:00.000;2018-11-07 23:25:00.000;5;4;3;4
L1561;CF-1;67080;67080 - Enquadramento Porta;2018-12-11 15:00:00.000;2018-12-14 14:30:00.000;2018-12-12 12:00:00.000;2018-12-17 10:00:00.000;-1;-1;4;4
L1561;CF-1;67120;67120 - Piso;2018-12-11 15:00:00.000;2018-12-20 14:30:00.000;2018-12-12 06:40:00.000;2019-01-08 15:30:00.000;-11;-1;18;8
L1561;CF-1;67061;67061 - Lateral Lower Right;2018-12-12 15:00:00.000;2018-12-17 14:30:00.000;2018-12-11 09:00:00.000;2018-12-13 14:00:00.000;2;1;3;4
L1561;CF-1;67065;67065 - Lateral Lower Right;2018-12-18 15:00:00.000;2018-12-21 14:30:00.000;2018-12-21 07:00:00.000;2019-01-10 14:40:00.000;-12;-3;13;4
L1561;CF-1;67051;67051 - Lateral Lower Left;2018-12-17 15:00:00.000;2018-12-20 14:30:00.000;2018-12-13 15:00:00.000;2018-12-21 09:00:00.000;-1;2;7;4
L1561;CF-1;67030;67030 - Shell Lower;2018-12-21 15:00:00.000;2019-01-09 14:30:00.000;2019-01-11 09:00:00.000;2019-01-16 15:00:00.000;-5;-13;4;12
L1561;CF-1;67042;67042 - Lateral Upper LF;2018-12-14 15:00:00.000;2018-12-19 14:30:00.000;2019-01-07 06:00:00.000;2019-01-08 10:00:00.000;-12;-14;2;4
L1561;CF-1;67041;67041 - Lateral Lower RH;2018-12-17 15:00:00.000;2018-12-20 14:30:00.000;2019-01-08 07:00:00.000;2019-01-11 10:00:00.000;-14;-14;4;4
L1561;CF-1;67040;67040 - Shell Upper;2018-12-20 15:00:00.000;2019-01-08 14:30:00.000;2019-01-11 14:00:00.000;2019-01-15 14:30:00.000;-5;-14;3;12
L1561;CF-1;67010;67010 - Assy Junction;2019-01-09 15:00:00.000;2019-01-14 14:30:00.000;2019-01-18 07:00:00.000;2019-01-22 09:00:00.000;-6;-7;3;4
L1561;CF-1;INTERFACE;Interface ;2019-01-15 15:00:00.000;2019-01-18 14:30:00.000;2019-01-22 09:00:00.000;2019-01-25 00:20:00.000;-5;-5;4;4
L1561;CF-1;GATE A;Gate A;2019-01-15 15:00:00.000;2019-01-18 14:30:00.000;2019-01-23 07:00:00.000;2019-01-23 15:20:00.000;-3;-6;1;4
L1561;CF-1;COMPLEMENTAÇÃO;Complementação;2019-01-18 15:00:00.000;2019-01-29 14:30:00.000;2019-01-25 10:00:00.000;2019-01-29 09:30:00.000;0;-5;3;8
L1561;CF-1;GATE B QUA;Gate B Qualidade;2019-01-29 15:00:00.000;2019-01-29 16:30:00.000;2019-01-29 10:30:00.000;2019-01-30 07:20:00.000;-1;0;2;1
L1561;CF-1;GATE B PRO;Gate B Produção;2019-01-30 07:30:00.000;2019-01-30 14:30:00.000;2019-01-30 08:10:00.000;2019-02-07 07:30:00.000;-6;0;7;1
L1561;CF-1;SELAGEM;Selagem;2019-01-30 15:00:00.000;2019-01-31 14:30:00.000;2019-02-07 08:00:00.000;2019-02-08 06:20:00.000;-6;-6;2;2
L1561;CF-1;PINTURA;Pintura;2019-01-31 15:00:00.000;2019-02-01 14:30:00.000;2019-02-08 07:10:00.000;2019-02-11 06:50:00.000;-6;-6;2;2
L1561;CF-1;PRÉ-INSPEÇÃO;Pré Inspeção;2019-02-01 15:00:00.000;2019-02-04 09:30:00.000;2019-02-11 07:00:00.000;2019-02-12 07:20:00.000;-6;-6;2;2
L1561;CF-1;INSPEÇÃO;Inspeção Sel Pint;2019-02-04 10:00:00.000;2019-02-04 14:30:00.000;2019-02-12 07:50:00.000;2019-02-12 11:00:00.000;-6;-6;1;1
L1561;CF-1;PU FINAL;PU Final;2019-02-04 15:00:00.000;2019-02-06 14:30:00.000;2019-02-12 11:30:00.000;2019-02-13 07:10:00.000;-5;-6;2;3
L1561;CF-1;GATE C;Gate C;2019-02-06 15:00:00.000;2019-02-07 14:30:00.000;2019-02-13 07:20:00.000;2019-02-13 10:00:00.000;-4;-5;1;2
L1561;CF-1;ENVIO EADI;Fuselagem Disponível;2019-02-07 15:00:00.000;2019-02-07 15:00:00.000;2019-02-13 18:45:00.000;2019-02-13 18:45:00.000;-4;-4;1;1
L1561;CF-3;65180;65180 - Lower Panel;2018-11-21 07:30:00.000;2018-11-23 15:30:00.000;2018-11-07 06:40:00.000;2018-11-09 08:30:00.000;9;9;3;3
L1561;CF-3;65720;65720 - Lower Fuselage;2018-11-26 07:30:00.000;2018-11-28 15:30:00.000;2018-11-09 08:40:00.000;2018-11-13 23:00:00.000;10;10;3;3
L1561;CF-3;65240;65240 - Lower Panel RH;2018-11-28 07:30:00.000;2018-11-30 15:30:00.000;2018-11-12 15:00:00.000;2018-11-14 07:00:00.000;11;11;3;3
L1561;CF-3;65110;65110 - Lateral LowerRH;2018-12-03 07:30:00.000;2018-12-10 15:30:00.000;2018-11-20 12:00:00.000;2018-11-23 10:00:00.000;11;9;4;6
L1561;CF-3;65120;65120 - Lower Panel LF;2018-12-04 07:30:00.000;2018-12-06 15:30:00.000;2018-11-08 10:50:00.000;2018-11-12 23:50:00.000;17;17;3;3
L1561;CF-3;65900;65900 - Shell Lower;2018-12-12 07:30:00.000;2018-12-19 15:30:00.000;2018-11-26 16:30:00.000;2018-12-03 14:00:00.000;12;12;6;6
L1561;CF-3;65400;65400 - Upper Panel;2018-11-23 07:30:00.000;2018-11-27 15:30:00.000;2018-11-22 06:30:00.000;2018-11-23 23:30:00.000;2;1;2;3
L1561;CF-3;65360;65360 - Upper Panel RH;2018-11-23 07:30:00.000;2018-11-27 15:30:00.000;2018-11-14 09:15:00.000;2018-11-20 15:00:00.000;5;6;4;3
L1561;CF-3;65300;65300 - Upper Panel LF;2018-11-23 07:30:00.000;2018-11-27 15:30:00.000;2018-11-14 23:00:00.000;2018-11-20 23:50:00.000;5;6;4;3
L1561;CF-3;65780;65780 - Lateral Upper LF;2018-11-29 07:30:00.000;2018-12-03 15:30:00.000;2018-11-23 17:00:00.000;2018-11-27 22:20:00.000;4;4;3;3
L1561;CF-3;65840;65840 - Lateral Upper RH;2018-11-29 07:30:00.000;2018-12-03 15:30:00.000;2018-11-27 17:00:00.000;2018-11-30 00:30:00.000;1;2;4;3
L1561;CF-3;65960;65960 - Shell Upper;2018-12-07 07:30:00.000;2018-12-14 15:30:00.000;2018-11-30 14:00:00.000;2018-12-04 21:30:00.000;8;5;3;6
L1561;CF-3;66000;66000 - Assy Junction;2018-12-20 07:30:00.000;2019-01-10 16:30:00.000;2018-12-04 17:00:00.000;2018-12-12 14:00:00.000;19;12;7;14
L1561;CF-3;INTERFACE;86640/86630 - Interface Porta;2019-01-14 07:30:00.000;2019-01-16 16:30:00.000;2018-12-19 10:00:00.000;2019-01-11 15:30:00.000;3;16;16;3
L1561;CF-3;GATE A;Gate A;2019-01-17 07:30:00.000;2019-01-21 16:30:00.000;2019-01-14 06:00:00.000;2019-01-15 15:30:00.000;4;3;2;3
L1561;CF-3;"120; 180; 240; 300; 360; 400";PGV - Furação (120,180,240,300,360,400);2018-11-09 07:30:00.000;2018-11-13 15:30:00.000;2018-10-31 06:15:00.000;2018-10-31 11:10:00.000;8;6;1;3
L1561;CF-3;65420;65420 - Enquadramento Porta;2018-11-23 07:30:00.000;2018-11-27 15:30:00.000;2018-10-31 14:10:00.000;2018-11-05 12:10:00.000;15;16;2;3
L1561;CF-3;65480;65480 - Enquadramento Porta;2018-11-21 07:30:00.000;2018-11-23 15:30:00.000;2018-11-09 14:35:00.000;2018-11-13 14:30:00.000;7;7;3;3
L1561;CF-3;65540;65540 - Enquadramento Porta;2018-11-21 07:30:00.000;2018-11-23 15:30:00.000;2018-11-12 15:20:00.000;2018-11-14 12:00:00.000;6;6;3;3
L1561;CF-3;65600;65600 - Piso;2018-12-04 07:30:00.000;2018-12-06 15:30:00.000;2018-11-05 16:00:00.000;2018-11-13 15:30:00.000;16;20;7;3
L1561;CF-3;65660;65660 - Piso;2018-12-04 07:30:00.000;2018-12-06 15:30:00.000;2018-11-12 12:00:00.000;2018-11-14 14:40:00.000;15;15;3;3
L1561;CF-3;65180 LIGHT;65180 - Light Lower Panel;2018-11-14 07:30:00.000;2018-11-20 15:30:00.000;2018-11-01 13:00:00.000;2018-11-07 06:45:00.000;8;8;3;4
L1561;CF-3;65240 LIGHT;65240 - Light Lower Panel RH;2018-11-23 07:30:00.000;2018-11-27 15:30:00.000;2018-11-05 15:10:00.000;2018-11-07 16:20:00.000;13;13;3;3
L1561;CF-3;65120 LIGHT;65120 - Light Lower Panel LF;2018-11-28 07:30:00.000;2018-11-30 15:30:00.000;2018-11-06 06:30:00.000;2018-11-08 10:30:00.000;15;15;3;3
L1561;CF-3;65400 LIGHT;65400 - Light Upper Panel RH;2018-11-19 07:30:00.000;2018-11-21 15:30:00.000;2018-11-08 16:30:00.000;2018-11-12 15:40:00.000;6;6;3;3
L1561;CF-3;65300 LIGHT;65300 - Light Upper Panel LF;2018-11-19 07:30:00.000;2018-11-21 15:30:00.000;2018-11-07 23:30:00.000;2018-11-12 15:30:00.000;6;7;4;3
L1561;CF-3;PRIM SELAGEM;1ª Selagem + Insp + Reparo;2019-01-22 07:30:00.000;2019-01-23 16:30:00.000;2019-01-15 17:00:00.000;2019-01-17 08:30:00.000;4;5;3;2
L1561;CF-3;COMPLEMENTAÇÃO;Complementação;2019-01-24 07:30:00.000;2019-01-31 16:30:00.000;2019-01-18 07:00:00.000;2019-01-23 22:00:00.000;6;4;4;6
L1561;CF-3;GATE B QUALIDADE;Gate B Qualidade;2019-02-01 07:30:00.000;2019-02-01 16:30:00.000;2019-01-24 07:00:00.000;2019-01-25 22:00:00.000;5;6;2;1
L1561;CF-3;GATE B PRODUÇÃO;Gate B Produção;2019-02-04 07:30:00.000;2019-02-04 16:30:00.000;2019-01-28 07:00:00.000;2019-01-29 22:00:00.000;4;5;2;1
L1561;CF-3;SELAGEM;Selagem;2019-02-05 07:30:00.000;2019-02-05 16:30:00.000;2019-01-30 07:00:00.000;2019-01-30 22:00:00.000;4;4;1;1
L1561;CF-3;PINTURA;Pintura;2019-02-06 07:30:00.000;2019-02-06 16:30:00.000;2019-01-31 07:00:00.000;2019-02-05 22:00:00.000;1;4;4;1
L1561;CF-3;COMPL POS PINTURA;Compl Pós-Pint + Hoisting;2019-02-07 12:30:00.000;2019-02-07 16:30:00.000;2019-02-07 07:00:00.000;2019-02-10 22:00:00.000;-2;0;2;1
L1561;CF-3;PU FINAL;PU Final;2019-02-08 07:30:00.000;2019-02-11 16:30:00.000;2019-02-11 07:00:00.000;2019-02-11 15:00:00.000;0;-1;1;2
L1561;CF-3;GATE C;Gate C;2019-02-12 07:30:00.000;2019-02-12 16:30:00.000;2019-02-12 07:00:00.000;2019-02-12 15:00:00.000;0;0;1;1
L1561;CF-3;ENVIO EADI;Fuselagem Disponível;2019-02-13 07:30:00.000;2019-02-13 07:30:00.000;2019-02-18 18:30:00.000;2019-02-18 18:30:00.000;-3;-3;1;1
L1562;CF-1;67061;67061 - Lateral Lower Right;2018-12-18 07:30:00.000;2018-12-20 15:30:00.000;2018-12-13 14:50:00.000;2018-12-18 08:00:00.000;2;3;4;3
L1562;CF-1;67065;67065 - Lateral Lower Right;2019-01-07 07:30:00.000;2019-01-09 16:30:00.000;2019-01-08 07:00:00.000;2019-01-15 08:00:00.000;-4;-1;6;3
L1562;CF-1;67051;67051 - Lateral Lower Left;2018-12-21 07:30:00.000;2019-01-08 16:30:00.000;2019-01-07 09:00:00.000;2019-01-09 15:00:00.000;-1;-9;3;11
L1562;CF-1;67030;67030 - Shell Lower;2019-01-10 07:30:00.000;2019-01-14 16:30:00.000;2019-01-15 08:00:00.000;2019-01-18 15:00:00.000;-4;-3;4;3
L1562;CF-1;67042;67042 - Lateral Upper LF;2018-12-20 07:30:00.000;2019-01-07 16:30:00.000;2019-01-09 13:30:00.000;2019-01-11 07:30:00.000;-4;-12;3;11
L1562;CF-1;67041;67041 - Lateral Lower RH;2018-12-21 07:30:00.000;2019-01-08 16:30:00.000;2019-01-11 07:00:00.000;2019-01-15 14:30:00.000;-5;-13;3;11
L1562;CF-1;67040;67040 - Shell Upper;2019-01-09 07:30:00.000;2019-01-11 16:30:00.000;2019-01-16 10:00:00.000;2019-01-21 08:30:00.000;-6;-5;4;3
L1562;CF-1;67010;67010 - Assy Junction;2019-01-15 07:30:00.000;2019-01-17 16:30:00.000;2019-01-22 07:00:00.000;2019-01-24 00:30:00.000;-5;-5;3;3
L1562;CF-1;INTERFACE;Interface ;2019-01-21 07:30:00.000;2019-01-23 16:30:00.000;2019-01-24 09:00:00.000;2019-01-26 00:10:00.000;-3;-3;2;3
L1562;CF-1;GATE A;Gate A;2019-01-21 07:30:00.000;2019-01-23 16:30:00.000;2019-01-25 07:00:00.000;2019-01-25 15:20:00.000;-2;-4;1;3
L1562;CF-1;COMPLEMENTAÇÃO;Complementação;2019-01-24 07:30:00.000;2019-02-01 16:30:00.000;2019-01-29 18:00:00.000;2019-01-31 12:00:00.000;1;-3;3;7
L1562;CF-1;GATE B QUA;Gate B Qualidade;2019-02-04 07:30:00.000;2019-02-04 09:30:00.000;2019-01-31 13:00:00.000;2019-02-01 07:10:00.000;1;2;2;1
L1562;CF-1;GATE B PRO;Gate B Produção;2019-02-04 10:00:00.000;2019-02-04 16:30:00.000;2019-02-01 08:00:00.000;2019-02-11 06:50:00.000;-5;1;7;1
L1562;CF-1;SELAGEM;Selagem;2019-02-05 07:30:00.000;2019-02-05 16:30:00.000;2019-02-11 07:30:00.000;2019-02-12 08:00:00.000;-5;-4;2;1
L1562;CF-1;PINTURA;Pintura;2019-02-06 07:30:00.000;2019-02-06 16:30:00.000;2019-02-13 07:20:00.000;2019-02-13 16:50:00.000;-5;-5;1;1
L1562;CF-1;PRÉ-INSPEÇÃO;Pré Inspeção;2019-02-07 07:30:00.000;2019-02-07 12:00:00.000;2019-02-14 07:10:00.000;2019-02-14 12:30:00.000;-5;-5;1;1
L1562;CF-1;INSPEÇÃO;Inspeção Sel Pint;2019-02-07 12:30:00.000;2019-02-07 16:30:00.000;2019-02-14 13:30:00.000;2019-02-15 06:50:00.000;-6;-5;2;1
